cod_procedimiento;consejeria;org_instructor;denominacion;descripcion;siaci;numero_expedientes
856;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea 4. Transformación de contratos en indefinidos. Decreto 86/2021;Decreto 86/2021, de 27 de julio, por el que se modifica el Decreto 97/2018, de 27/12, por el que se regula la concesión directa de subvenciones para la cualificación y la inserción de personas desempleadas en el mercado laboral. Línea 4: Ayudas para la transformación en contratos indefinidos.;SKJ8;242
794;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea I.- Contratación y transformación indefinida de contratos de discapacitados. Resolución de 01/03/2021;Resolución de 01/03/2021, de la D.G. de Programas de Empleo, por la que se publican los créditos disponibles para 2021, de las subvenciones recogidas en Decreto 25/2020, por el que se regula la concesión directa de subvenciones para la contratación de personas con discapacidad en el mercado ordinario de trabajo de CLM.;SK2D;237
273;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea I.- Contratación y transformación indefinida de contratos de discapacitados. Decreto 25/2017;Decreto 25/2017, de 28 de marzo, por el que se modifica el Decreto 35/2016, de 27 de julio, por el que se regulan los incentivos destinados a fomentar la contratación de las personas con discapacidad en el mercado ordinario de trabajo de Castilla-La Mancha;SK2D;235
174;Consejeria de economia, empresas y empleo;Direccion general de empleo;Resolución de 09/04/2015. Voluntariado en Campos de Trabajo;Actividades de Voluntariado en Campos de Trabajo incluidas en el Programa Verano Joven dirigidas a jóvenes de la región;SIDQ;233
398;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención para financiar proyectos para el empleo de personas jóvenes cualificadas 2018;SUBVENCIÓN PARA FINANCIAR PROYECTOS PARA EL EMPLEO DE PERSONAS JÓVENES CUALIFICADAS INSCRITAS EN EL SISTEMA NACIONAL DE GARANTÍA JUVENIL COFINANCIADA POR EL PROGRAMA OPERATIVO DE EMPLEO JUVENIL (TITULADOS);SL2T;230
652;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención para financiar proyectos para el empleo de personas jóvenes cualificadas 2021. Resolución de 19/05/2021;Resolución de 19/05/2021, de la Dirección General de Programas de Empleo, por la que se convocan para el ejercicio 2021, las subvenciones para financiar proyectos para el empleo de personas jóvenes cualificadas inscritas en el Sistema Nacional de Garantía Juvenil (TITULADOS 2021);SL2T;219
62;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 18/04/2013;Orden de 18/04/2013, de la Consejería de Empleo y Economía por la que se convocan las subvenciones destinadas al apoyo y mantenimiento de la actividad emprendedora a través de ayudas por autónomo colaborador;SJV7;206
988;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea I.- Ayudas a la contratación y a la transformación indefinida de contratos. Decreto 112/2022;Decreto 112/2022, de 11 de octubre, por el que se regula la concesión directa de subvenciones para la inserción laboral de personas con discapacidad en el mercado ordinario de trabajo.;SK2D;203
58;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 11/03/2013. Segundo Procedimiento de Selección;Orden de 11/03/2013 de la Consejería de Empleo y Economía por la que se convoca el segundo procedimiento de selección para la contratación indefinida de personas desempleadas, de entre treinta y cuarenta y cinco años, y para la transformación de contratos eventuales en indefinidos;SJZ8;200
136;Consejeria de economia, empresas y empleo;Direccion general de empleo;Resolución de 11/04/2014. Voluntariado en Campos de Trabajo Internacionales;Actividades de Voluntariado en Campos de Trabajo Internacionales incluidas en el Programa Verano Joven dirigidas a jóvenes de la región;SIDQ;199
139;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea I.- Contratación y transformación indefinida de contratos de discapacitados. Orden de 11/04/2014;Orden de 11/04/2014, de la Consejería de Empleo y Economía, por la que se aprueba la convocatoria para el ejercicio 2014, de las ayudas establecidas en el Decreto 39/2013, destinadas a fomentar la contratación de las personas con discapacidad en el mercado ordinario de trabajo de Castilla-La Mancha. Línea I;SK2D;188
525;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea 2. Contratos en prácticas. Decreto 43/2020;Decreto 43/2020, de 03 de agosto, por el que se regula la concesión directa de subvenciones para la cualificación y la inserción de personas desempleadas en el mercado laboral. Línea 2: Ayudas para la formalización de contratos en prácticas.;SKJ7;182
167;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 16/03/2015;Orden de 16/03/2015, de la Consejería de Empleo y Economía, por la que se establecen las bases reguladoras para la concesión de subvenciones en el marco del programa Prácticas-Joven, y se aprueba su convocatoria para el ejercicio 2015.;SKEQ;179
981;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea 4. Transf. de contratos de formación en alternancia, obtención de práctica prof. y relevo en contratos indef. y contratación indefinida. Decreto 103/2022;Decreto 103/2022, de 13 de Septiembre, por el que se regula la concesión directa de subvenciones para favorecer el acceso al empleo de calidad de las personas jóvenes y fomentar la cualificación profesional. Línea 4: Ayudas para la transformación de contratos en indefinidos;SKJ8;178
151;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 30/07/2014;Orden de 30/07/2014, de la Consejería de Empleo y Economía por la que se convocan para 2014 las subvenciones destinadas al apoyo y mantenimiento de la actividad emprendedora a través de ayudas por autónomo colaborador;SJV7;176
213;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea I.- Contratación y transformación indefinida de contratos de discapacitados. Decreto 35/2016;Decreto 35/2016, de 27/07/2016, por el que se regulan los incentivos destinados a fomentar la contratación de las personas con discapacidad en el mercado ordinario de trabajo de Castilla-La Mancha;SK2D;172
953;Consejeria de economia, empresas y empleo;Direccion general de empleo;Memoria anual de los centros especiales de empleo de Castilla-La Mancha;Memoria anual de los centros especiales de empleo de Castilla-La Mancha.;ML2M;168
979;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea 2. Contratos de formación para la obtención de la práctica profesional. Decreto 103/2022, de 13 de Septiembre;Decreto 103/2022, de 13 de Septiembre, por el que se regula la concesión directa de subvenciones para para favorecer el acceso al empleo de calidad de las personas jóvenes y fomentar la cualificación profesional. Línea 2: Contratos de formación para la obtención de la práctica profesional;SKJ7;165
1069;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SLY5-Línea 4. Ayudas para la conversión de contratos a tiempo parcial en contratos indefinidos a jornada completa. Resolución de 03/04/2023.;Resolución 03/04/2023, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2023, para la financiación de las subvenciones previstas en el Decreto 113/2022, de 11 de octubre.;SLY5;159
1203;Consejeria de economia, empresas y empleo;Direccion general de empleo;"2024-SKJ8- Línea 4. Transf. de contr. de formación en alternancia, práctica prof. y relevo en contratos indef. y contr. indefinida. Convocatoria 2024.
";Resolución de 05/06/2024, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2024, para la concesión de las subvenciones reguladas en el Decreto 103/2022, de 13 de Septiembre.;SKJ8;158
289;Consejeria de economia, empresas y empleo;Direccion general de empleo;Decreto 42/2017, de 11/07/2017;Decreto 42/2017, de 11/07/2017, por el que se modifica el Decreto 29/2016, de 5 julio, por el que se regula la concesión directa de subvenciones de carácter excepcional, para el fomento de la contratación indefinida y en especial de personas mayores de 45 años;SKMA;156
179;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea I.- Contratación y transformación indefinida de contratos de discapacitados. Orden de 06/05/2015;Orden de 06/05/2015, de la Consejería de Empleo y Economía, por la que se aprueba la convocatoria para el ejercicio 2015, de las ayudas establecidas en el Decreto 39/2013, destinadas a fomentar la contratación de las personas con discapacidad en el mercado ordinario de trabajo de Castilla-La Mancha. Línea I;SK2D;153
595;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea I.- Contratación y transformación indefinida de contratos de discapacitados. Decreto 25/2020;Decreto 25/2020, de 23 de junio, por el que se regula la concesión directa de subvenciones para la contratación de personas con discapacidad en el mercado ordinario de trabajo de Castilla-La Mancha;SK2D;152
1080;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SKJ7-Línea 2. Contratos de formación para la obtención de la práctica profesional. Convocatoria 2023.;Resolución de XX/03/2023, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2023, para la concesión de las subvenciones reguladas en el Decreto 103/2022, de 13 de septiembre.;SKJ7;148
1003;Consejeria de economia, empresas y empleo;Direccion general de empleo;2022-SLY5-Línea 4. Ayudas para la conversión de contratos a tiempo parcial en contratos indefinidos a jornada completa. Decreto 113/2022.;Decreto 113/2022, de 11 de octubre, por el que se regula la concesión directa de subvenciones para favorecer el pleno empleo y la inclusión social a través del empleo estable y de calidad cofinanciados por el Fondo Social Europeo Plus.;SLY5;142
1130;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SLHG-Resolución de 27/12/2023. Subvención a entidades sin ánimo de lucro para la contratación de personas desempleadas y en situación de exclusión social.;Resolución de 27/12/2023, de la Dirección General de Empleo, por la que se convocan las subvenciones a entidades sin ánimo de lucro, para la contratación de personas desempleadas y en situación de exclusión social;SLHG;135
175;Consejeria de economia, empresas y empleo;Direccion general de empleo;Resolución de 15/04/2015. Voluntariado en Campos de Trabajo Internacionales;Actividades de Voluntariado en Campos de Trabajo Internacionales incluidas en el Programa Verano Joven dirigidas a jóvenes de la región;SIDQ;132
1040;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SJI6-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre del año 2023.;SJI6;126
212;Consejeria de economia, empresas y empleo;Direccion general de empleo;Decreto 29/2016, de 05/07/2016;Decreto 29/2016, de 05/07/2016, por el que se regula la concesión directa de subvenciones de carácter excepcional, para el fomento de la contratación indefinida y en especial de personas mayores de 45 años;SKMA;122
1001;Consejeria de economia, empresas y empleo;Direccion general de empleo;2022-SLY1-Línea 2. Ayudas para incentivar la contratación fija-discontínua. Decreto 113/2022.;Decreto 113/2022, de 11 de octubre, por el que se regula la concesión directa de subvenciones para favorecer el pleno empleo y la inclusión social a través del empleo estable y de calidad cofinanciados por el Fondo Social Europeo Plus.;SLY1;118
887;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención a entidades sin ánimo de lucro para la contratación de personas desempleadas y situación de exclusión social. Resolución de 11/11/2021;Resolución de 11/11/2021, de la Dirección General de Programas de Empleo, por la que se convocan, las subvenciones a entidades sin ánimo de lucro, para la contratación de personas desempleadas y en situación de   exclusión social, con motivo de la crisis del COVID-19 para el ejercicio 2021;SLHG;107
1201;Consejeria de economia, empresas y empleo;Direccion general de empleo;2024-SKJ7-Línea 2. Contratos de formación para la obtención de la práctica profesional. Convocatoria 2024.;Resolución de 05/06/2024, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2024, para la concesión de las subvenciones reguladas en el Decreto 103/2022, de 13 de Septiembre.;SKJ7;106
221;Consejeria de economia, empresas y empleo;Direccion general de empleo;2016-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre;SJI6;102
333;Consejeria de economia, empresas y empleo;Direccion general de empleo;2018-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2018.;SJI6;102
1026;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención a entidades sin ánimo de lucro para la contratación de personas desempleadas y situación de exclusión social. Resolución de 27/12/2022;Resolución de 31/12/2022, de la Consejería de Economía, Empresas y Empleo, por la que se convocan las subvenciones a entidades sin ánimo de lucro, para la contratación de personas desempleadas y en situación de   exclusión social.;SLHG;100
604;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención para incentivar la contratación de personas afectadas por procedimientos de extinción del contrato de trabajo como consecuencia del COVID-19. 2020;Subvención para incentivar la contratación de personas afectadas por procedimientos de extinción del contrato de trabajo como consecuencia del COVID-19. Convocatoria 2020;SLEU;98
661;Consejeria de economia, empresas y empleo;Direccion general de empleo;2021-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2021.;SJI6;98
1067;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SLY1-Línea 2. Ayudas para incentivar la contratación fija-discontínua. Resolución de 03/04/2023.;Resolución 03/04/2023, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2023, para la financiación de las subvenciones previstas en el Decreto 113/2022, de 11 de octubre.;SLY1;97
255;Consejeria de economia, empresas y empleo;Direccion general de empleo;2017-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2017.;SJI6;96
1039;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2023.;SJI6;95
222;Consejeria de economia, empresas y empleo;Direccion general de empleo;2016-SKML-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre;SKML;94
397;Consejeria de economia, empresas y empleo;Direccion general de empleo;2018-SKML-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre del año 2018.;SKML;94
443;Consejeria de economia, empresas y empleo;Direccion general de empleo;2019-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2019.;SJI6;93
846;Consejeria de economia, empresas y empleo;Direccion general de empleo;2021-SKML-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre del año 2021.;SKML;93
919;Consejeria de economia, empresas y empleo;Direccion general de empleo;2022-SJI6-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre del año 2022.;SJI6;93
918;Consejeria de economia, empresas y empleo;Direccion general de empleo;2022-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2022.;SJI6;92
1143;Consejeria de economia, empresas y empleo;Direccion general de empleo;2024-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2024.;SJI6;92
48;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 11/03/2013. Primer Procedimiento de Selección;Orden de 11/03/2013 de la Consejería de Empleo y Economía por la que se convoca el primer procedimiento de selección para la contratación indefinida de personas desempleadas, de entre treinta y cuarenta y cinco años, y para la transformación de contratos eventuales en indefinidos;SJZ8;91
444;Consejeria de economia, empresas y empleo;Direccion general de empleo;2019-SKML-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre del año 2019.;SKML;91
548;Consejeria de economia, empresas y empleo;Direccion general de empleo;2020-SJI6-Subvención de costes salariales. Primer Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Primer Semestre del año 2020.;SJI6;90
579;Consejeria de economia, empresas y empleo;Direccion general de empleo;2020-SKML-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre del año 2020.;SKML;90
1173;Consejeria de economia, empresas y empleo;Direccion general de empleo;2024 - SK2D - Línea I.- Ayudas a la contratación y a la transformación indefinida de contratos. Decreto 32/2024;Decreto 32/2024, de 2 de julio, por el que se regula la concesión directa de subvenciones para la inserción laboral de personas con discapacidad en el mercado ordinario de trabajo. Línea 1;SK2D;90
974;Consejeria de economia, empresas y empleo;Direccion general de empleo;2022-SLW7-Incremento extraordinario 1,57% adicional SMI;Decreto 85/2022, de 19 de julio, por el que se aprueban las bases reguladoras para la concesión directa de las  subvenciones incluidas en el Programa de inclusión laboral de personas con discapacidad en el mercado de  trabajo protegido de Castilla-La Mancha. Línea Incremento extraordinario 1,57% adicional SMI ;SLW7;88
291;Consejeria de economia, empresas y empleo;Direccion general de empleo;2017-SKML-Subvención de costes salariales. Segundo Semestre;Ayudas para el mantenimiento de puestos de trabajo de personas con discapacidad. Subvención de costes salariales-Segundo Semestre del año 2017.;SKML;86
646;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención para la contratación de personas desempleadas y situación de exclusión social, con motivo del COVID-19. Orden 183/2020, de 24 de noviembre;Orden 183/2020, de 24 de noviembre. Subvención para la contratación de personas desempleadas y situación de exclusión social, con motivo del COVID-19.;SLHG;83
640;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención para la inserción de personas jóvenes en el mercado laboral ;Subvención para la inserción de personas jóvenes en el mercado laboral (sectores de actividad de la estrategia de crecimiento sostenible anual 2021 y programa operativo de empleo juvenil 2014-2020);SLHK;77
37;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 03/09/2012;Orden de 03/09/2012, de la Consejería de Empleo y Economía por la que se convocan las subvenciones destinadas al apoyo y mantenimiento de la actividad emprendedora a través de ayudas por autónomo colaborador;SJV7;76
952;Consejeria de economia, empresas y empleo;Direccion general de empleo;Comunicación de las modificaciones de centros especiales de empleo;Comunicación de las modificaciones de centros especiales de empleo.;ML46;66
608;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea 2. Ayudas por la contratación de personas trabajadoras para el cuidado de hijos o de hijas o familiares;Decreto 32/2020, de 14 de julio, por el que se regula la concesión directa de ayudas para la conciliación de la vida familiar y laboral como consecuencia de la crisis originada por el COVID-19;SLEP;64
522;Consejeria de economia, empresas y empleo;Direccion general de empleo;2019-SLBG-Incremento extraordinario 5% adicional SMI;Decreto 278/2019, de 23 de diciembre, por el que se regula la concesión directa de subvenciones a los CEE, por la que se publican los créditos disponibles para 2019, por el que se regula la concesión directa de subvenciones para promover y facilitar la integración laboral de las personas con discapacidad en CEE.;SLBG;62
584;Consejeria de economia, empresas y empleo;Direccion general de empleo;Ayudas para residencia y desplazamiento destinadas a Campañas Agricolas debido al COVID-19;Decreto 20/2020, de 2 de junio, por el que se regulan las ayudas destinadas a favorecer el empleo en las campañas agrarias de Castilla-La Mancha ante la situación generada por el COVID-19.;SLDK;62
792;Consejeria de economia, empresas y empleo;Direccion general de empleo;2020-SLIK-Incremento extraordinario 5% adicional SMI;Decreto 18/2021, de 9 de marzo, por el que se regula la concesión directa de subvenciones a los CEE, por la que se publican los créditos disponibles para 2020, por el que se regula la concesión directa de subvenciones para promover y facilitar la integración laboral de las personas con discapacidad en CEE.;SLIK;61
809;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención a personas afectadas por un ERTE con motivo del COVID-19 y que han perdido su puesto de trabajo con posterioridad a su finalización.;Subvención a personas afectadas por un ERTE con motivo del COVID-19 y que han perdido su puesto de trabajo con posterioridad a su finalización.;SLLT;56
59;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 11/03/2013. Segundo Procedimiento de Selección;Orden de 11/03/2013 de la Consejería de Empleo y Economía por la que se convoca el segundo procedimiento de selección para la contratación en prácticas de jóvenes desempleados menores de treinta años que les permita acceder al mercado de trabajo tras finalizar sus estudios;SJZ8;52
806;Consejeria de economia, empresas y empleo;Direccion general de empleo;36/2021 Línea 2. Ayudas por la contratación de personas trabajadoras para el cuidado de hijos o de hijas o familiares ;Ayudas para la adopción de medidas para la Conciliación de la Vida Familiar y Laboral como medida de fimento de la conciliación. Decreto 36/2021;SLEP;52
892;Consejeria de economia, empresas y empleo;Direccion general de empleo;2021-SLIK-Incremento extraordinario 5% adicional SMI;Decreto 101/2021, de 5 de octubre, por el que se regula la concesión directa de subvenciones a los CEE, por la que se publican los créditos disponibles para 2021, por el que se regula la concesión directa de subvenciones para promover y facilitar la integración laboral de las personas con discapacidad en CEE.;SLIK;49
989;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea II.- Ayudas para la adaptación de los puestos de trabajo de personas trabajadoras con discapacidad. Decreto 112/2022;Decreto 112/2022, de 11 de octubre, por el que se regula la concesión directa de subvenciones para la inserción laboral de personas con discapacidad en el mercado ordinario de trabajo.;SLXG;48
47;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 11/03/2013. Primer Procedimiento de Selección;Orden de 11/03/2013 de la Consejería de Empleo y Economía por la que se convoca el primer procedimiento de selección para las subvenciones para la contratación temporal inicial de personas desempleadas mayores de treinta años;SJZ8;47
1226;Consejeria de economia, empresas y empleo;Direccion general de empleo;2024 - SKZ7 - Línea 1. Solicitud de subvención a la contratación y/o mantenimiento de personas en riesgo o situación de exclusión social. ;Concesión directa de ayudas a Empresas de Inserción para la contratación y/o mantenimiento de personal técnico de acompañamiento y/o producción (Línea 1 del Decreto 52/2023, de 25 de mayo). Resolución de 13/06/2024;SKZ7;47
77;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 30/07/2013. Contratación Indefinida de Discapacitados;Orden de 30/07/2013, de la Consejería de Empleo y Economía, por la que se aprueba la convocatoria para el ejercicio 2013 de las ayudas recogidas en el Decreto 39/2013  de 11/07/2013, que regula los incentivos a la contratación de personas con discapacidad;SK2D;46
824;Consejeria de economia, empresas y empleo;Direccion general de empleo;Ayudas para residencia y desplazamiento destinadas a Campañas Agricolas debido al COVID-19. Convocatoria 2021;Decreto 71/2021, de 15 de Junio, por el que se regulan las ayudas destinadas a favorecer el empleo en las campañas agrarias de Castilla-La Mancha. Convocatoria 2021.;SLDK;38
356;Consejeria de economia, empresas y empleo;Direccion general de empleo;Línea II.- Adaptación a puestos de trabajo de personas con discapacidad. Resolución 05/04/2018;Resolución de 05/04/2018, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles, para la concesión de las ayudas en virtud del Decreto 35/2016, de 27 de julio, por el que se regulan los incentivos destinados a fomentar la contratación de las personas con discapacidad;SK2D;36
1021;Consejeria de economia, empresas y empleo;Direccion general de empleo;Decreto 126/2022, por el que se regula la concesión directa de subvenciones del Programa Captación del Talento. Contratación Indefinida. (Anexo IA);Contratación Indefinida. Decreto 126/2022, de 20 de diciembre;SLZY;35
848;Consejeria de economia, empresas y empleo;Direccion general de empleo;Subvención para incentivar la contratación de personas afectadas por procedimientos de extinción del contrato de trabajo como consecuencia del COVID-19. 2021;Subvención para incentivar la contratación de personas afectadas por procedimientos de extinción del contrato de trabajo como consecuencia de la crisis provocada por el COVID-19. Convocatoria 2021;SLEU;34
6;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 9 de Noviembre de 2010;;SIRK;33
865;Consejeria de economia, empresas y empleo;Direccion general de empleo;2021-SIY8-Subvención para sufragar inversión en activos fijos;Ayudas a proyectos generadores de empleo. Subvención para sufragar inversión en activos fijos. Convocatoria 2021;SIY8;33
61;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 18/04/2013;Orden de 18/04/2013, de la Consejería de Empleo y Economía por la que se convocan las subvenciones destinadas al apoyo y mantenimiento de la actividad emprendedora a través de ayudas para la conciliación de la vida laboral, familiar y personal;SJV6;30
1250;Consejeria de economia, empresas y empleo;Direccion general de empleo;2024 - SKOO- Unidades de Apoyo a la actividad profesional;"LINEA 4 SOLICITUD Y JUSTIFICACIÓN DE SERVICIOS DE AJUSTE PERSONAL Y SOCIAL A TRAVÉS DE UNIDADES DE APOYO. Convocatoria 2024
";SKOO;30
2;Consejeria de economia, empresas y empleo;Direccion general de empleo;Orden de 9 de Noviembre de 2010;;SIQ6;29
1152;Consejeria de economia, empresas y empleo;Direccion general de empleo;"2024-KM64-Subvención para la contratación  de personas titulares del título ""CHEQUE EMPLEO""";"Resolución de 21/11/2023, Subvención para la contratación de personas titulares del título ""CHEQUE EMPLEO"" - Programa de apoyo activo al empleo.";KM64;29
419;Consejeria de economia, empresas y empleo;Direccion general de empleo;2018-SIY8-Subvención para sufragar inversión en activos fijos;Ayudas a proyectos generadores de empleo. Subvención para sufragar inversión en activos fijos. Convocatoria 2018;SIY8;28
815;Consejeria de economia, empresas y empleo;Direccion general de empleo;2021-SKOO-Unidades de Apoyo a la actividad profesional;Resolución de 26/04/2021 de la Dirección General de Programas de Empleo, por la que se convocan, para el ejercicio 2021 las ayudas a las Unidades de Apoyo a la actividad profesional, en el marco de los servicios de ajuste personal y social de los centros especiales de empleo;SKOO;28
554;Consejeria de economia, empresas y empleo;Direccion general de empleo;Resolución 18/06/2020;Resolución de 18/06/2020, de la DG de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2020, para las subvenciones del Decreto 96/2018, de 27 de diciembre, para incentivar la contratación en el marco del Programa Cheque Transición;SL5W;27
904;Consejeria de economia, empresas y empleo;Direccion general de empleo;2021-SLR2-Orden 190/2021;Orden 190/2021. Subvención para ayuda para costes laborales y salariales.;SLR2;27
966;Consejeria de economia, empresas y empleo;Direccion general de empleo;2022-SKOO-Unidades de Apoyo a la actividad profesional;Disposición adicional 5ª del Decreto 85/2022 de 19 de julio. Convocatoria de 2022 de la subvención de la línea 4, servicios de ajuste personal y social a través de las unidades de apoyo;SKOO;27
1054;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SKOO-Unidades de Apoyo a la actividad profesional;Resolución de 9/03/2023 de la Dirección General de Programas de Empleo, por la que publican los créditos disponibles en el ejercicio 2023 que han de financiar las subvenciones por los servicios de ajuste personal y social a través de las unidades de apoyo (Línea 4);SKOO;27
223;Consejeria de economia, empresas y empleo;Direccion general de empleo;2016-SIY8-Subvención para sufragar inversión en activos fijos;Ayudas a proyectos generadores de empleo. Subvención para sufragar inversión en activos fijos;SIY8;26
523;Consejeria de economia, empresas y empleo;Direccion general de empleo;2019-SKOO-Unidades de Apoyo a la actividad profesional;Resolución de 20/12/2019 de la Dirección General de Programas de Empleo, por la que se convocan, para el ejercicio 2019 las ayudas a las Unidades de Apoyo a la actividad profesional, en el marco de los servicios de ajuste personal y social de los centros especiales de empleo;SKOO;26
965;Consejeria de economia, empresas y empleo;Direccion general de empleo;2022-SIY8-Subvención para sufragar inversión en activos fijos;Ayudas a proyectos generadores de empleo. Subvención para sufragar inversión en activos fijos. Convocatoria 2022;SIY8;26
647;Consejeria de economia, empresas y empleo;Direccion general de empleo;2020-SIY8-Subvención para sufragar inversión en activos fijos;Ayudas a proyectos generadores de empleo. Subvención para sufragar inversión en activos fijos. Convocatoria 2020;SIY8;25
950;Consejeria de economia, empresas y empleo;Direccion general de empleo;Calificación e inscripción en el registro de centros especiales de Castilla-La Mancha;Calificación e inscripción en el registro de centros especiales de Castilla-La Mancha.;SL45;25
1068;Consejeria de economia, empresas y empleo;Direccion general de empleo;2023-SLY3-Línea 3. Ayuda Programa Cheque Transición. Resolución de 03/04/2023.;Resolución 03/04/2023, de la Dirección General de Programas de Empleo, por la que se publican los créditos disponibles en el ejercicio 2023, para la financiación de las subvenciones previstas en el Decreto 113/2022, de 11 de octubre.;SLY3;25
598;Consejeria de economia, empresas y empleo;Direccion general de empleo;2020-SKOO-Unidades de Apoyo a la actividad profesional;Resolución de 10/07/2020 de la Dirección General de Programas de Empleo, por la que se convocan, para el ejercicio 2020 las ayudas a las Unidades de Apoyo a la actividad profesional, en el marco de los servicios de ajuste personal y social de los centros especiales de empleo;SKOO;24
